Date;Zinssatz der EZB
2021-11;0,00
2021-12;0,00
2022-01;0,00
2022-02;0,00
2022-03;0,00
2022-04;0,00
2022-05;0,00
2022-06;0,00
2022-07;0,50
2022-08;0,50
2022-09;1,25
2022-10;1,25
2022-11;2,00
2022-12;2,50
2023-01;2,50
2023-02;3,00
2023-03;3,50
2023-04;3,50
2023-05;3,75
2023-06;4,00
2023-07;4,00
2023-08;4,25
2023-09;4,50
2023-10;4,50
2023-11;4,50
2023-12;4,50
2024-01;4,50
2024-02;4,50
2024-03;4,50
2024-04;4,50
2024-05;4,50
2024-06;4,25
2024-07;4,25
2024-08;4,25
2024-09;3,65
